Bauwerk,Bauwerkbezeichnung,Ebene,Raumnr,Nutzungsartbez.,Nutzername,Kostentraeger,GueltigVon,GueltigBis
151.02,Luftpostleitstelle,G5,401,BÜRORAUM,F-ITE,F-ITE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,402,BÜRORAUM,F-ITE,F-ITE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,406,BÜRORAUM,F-ITE,F-ITE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,414,BÜRORAUM,F-ITET,F-ITET,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,339,VORRAUM ZU SANITÄRRAUM,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,601,FLUR,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,412,BÜRORAUM,F-ITE,F-ITE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,431,TEEKÜCHE,F-ITET,F-ITET,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,433,VORRAUM ZU SANITÄRRAUM,F-ITET,F-ITET,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,435,TOILETTE,F-ITET,F-ITET,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,219,VORRAUM ZU SANITÄRRAUM,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,221,TOILETTE,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,222,ELT-VERTEILUNG,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,223,TEEKÜCHE,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,437,PUTZRAUM,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,438,ELT-VERTEILUNG,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,439,VORRAUM ZU SANITÄRRAUM,F-ITET,F-ITET,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,302,BÜRORAUM,F-ITED,F-ITED,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,306,BÜRORAUM,F-ITED,F-ITED,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,441,TOILETTE,F-ITET,F-ITET,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,602,TREPPE,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,603,TREPPE,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,604,TREPPE,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,606,TREPPE,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,607,TREPPE,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,610,TREPPE,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,700,FLUR,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,710,FLUR,F-ITS,F-ITS,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,720,FLUR,F-UE,F-PT-K,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,730,FLUR,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,740,FLUR,F-RE,F-RE,15/02/01,31/12/99
